#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
438,Jeantal Cylla,UNCW,33,28.2,4.7,11.1,0.427,1,3.2,0.311,3.2,3.8,0.848,1.4,2.6,1.5,3.1,4.6,0.5,0.5,0.5,13.7
439,Malik Maitland,BCU,29,29.8,4.6,12.3,0.376,1.5,4.8,0.319,2.9,3.4,0.84,2.4,2,0.8,2.1,2.8,4.4,1.9,0,13.7
440,Glynn Watson,UNL,36,34.4,4.9,11.9,0.414,2.3,5.9,0.383,1.5,1.9,0.791,1.4,2.5,0.4,3.7,4.1,3.1,1.1,0.1,13.6
441,JayQuan McCloud,UWGB,36,27.2,4.6,10.3,0.444,2.1,5.4,0.393,2.3,2.8,0.832,1.6,2.1,0.6,2.1,2.7,2.3,0.7,0.3,13.6
442,Marcus Evans,VCU,33,26.8,4.2,9.8,0.427,1.2,4.5,0.273,4,5.2,0.773,2.7,2.4,0.5,2.7,3.1,3.2,2,0.2,13.6
443,Mitchell Hahn,UNO,32,31.9,5.2,11.1,0.468,1.8,4.7,0.376,1.5,1.9,0.774,1.4,2.2,0.9,5.4,6.3,1.7,0.5,0.2,13.6
444,Sagaba Konate,WVU,8,24.1,4.6,10.6,0.435,1.1,2.9,0.391,3.2,4,0.812,2.1,3.2,1.9,6.1,8,1.4,0.8,2.8,13.6
445,Mason Jones,U of A,34,29.3,4,9.9,0.404,2.2,6.1,0.365,3.4,4.2,0.804,1.8,2.3,0.5,3.4,3.9,2.7,0.9,0.2,13.6
446,Naz Reid,LSU,34,27.2,5,10.7,0.468,0.8,2.5,0.333,2.7,3.8,0.727,2.5,3.2,2.5,4.7,7.2,0.9,0.7,0.7,13.6
447,Isaiah Wright,USD,31,37.8,4.4,10,0.441,1.6,4.8,0.327,3.2,4.1,0.786,2.9,2.6,0.3,3.7,4.1,4.7,1.4,0,13.6
448,Evan Gilyard,UTEP,28,32.6,4.3,11.4,0.375,2,5.5,0.355,3.1,4.2,0.723,2.1,2.2,0.8,2.4,3.1,1.7,0.7,0,13.6
449,Jahlil Jenkins,FDU,35,36.9,4.6,10.7,0.428,1.2,3.7,0.328,3.2,3.6,0.881,2.1,1.5,0.2,2.9,3.1,4.5,1.6,0.1,13.6
450,K.J. Riley,UE,32,32.9,3.9,9.2,0.425,0.3,1.7,0.17,5.5,7.6,0.721,3.2,3,0.8,4.2,5,3,1.2,0.4,13.6
451,Kameron Gibson,WCU,32,30.8,5,10.8,0.458,2.4,6,0.404,1.2,1.8,0.684,2.2,3.1,0.4,1.7,2.1,1.9,0.5,0.2,13.6
452,Bruno Fernando,UMD,34,30,5.1,8.4,0.607,0.1,0.3,0.3,3.3,4.3,0.779,2.8,2.7,2.9,7.7,10.6,2,0.6,1.9,13.6
453,D.J. Laster,GWU,34,26.4,5.6,10.2,0.552,0.7,1.6,0.411,1.6,2.5,0.655,1.5,2.4,2,3.4,5.4,0.4,0.4,0.6,13.6
454,LaMontray Harris,MSU,29,27.7,5.4,10.4,0.525,0.5,1.8,0.294,2.2,2.8,0.778,2.1,2.8,2.8,5.4,8.2,1.6,0.6,0.6,13.6
455,Jordan Cohen,LU,31,31.8,4.4,8.4,0.523,1.5,3.2,0.475,3.3,3.8,0.864,2,2.2,0.7,3.1,3.8,3.6,1.3,0.4,13.6
456,Chris Porter-Bunton,APSU,31,27,4.6,9.5,0.491,1.2,2.7,0.429,3.1,4.5,0.698,2.2,3.1,0.8,4.1,4.9,2,1.4,0.3,13.6
457,David McFarland,SIUE,31,29.8,4.6,11.3,0.406,1.6,5.4,0.304,2.8,3.6,0.775,1.6,2.5,0.8,2.9,3.8,1.6,1.6,0.4,13.6
458,Nathan Hoover,WC,35,28.6,4.4,9.6,0.457,2.6,5.6,0.469,2.2,2.4,0.906,0.7,1.4,0.3,2.2,2.5,1,0.6,0,13.6
459,Ty Jerome,UVA,37,34,4.8,11.1,0.435,2.1,5.4,0.399,1.8,2.5,0.736,1.6,1.8,0.5,3.8,4.2,5.5,1.5,0,13.6
460,Trhae Mitchell,USA,34,34.2,5.1,10.8,0.478,1,2.4,0.42,2.3,3.5,0.647,2.4,2.8,1.4,6.2,7.6,3.6,1.1,2.1,13.6
461,Myles Stephens,PRIN,27,33.4,5,11.9,0.424,0.8,3.3,0.25,2.7,3.6,0.735,1.9,2.1,1,5.3,6.4,1.1,0.9,0.6,13.6
462,Dante Scott,MVSU,31,31.8,4.6,12.1,0.383,1.3,3.6,0.345,3,4.2,0.721,1.6,2,1.3,3.9,5.2,1.8,0.7,0.2,13.5
463,Quinton Adlesh,COM,28,31.4,5.2,12.2,0.427,2.5,6.7,0.372,0.6,0.9,0.708,2,2.3,0.1,2.5,2.6,2.5,1.6,0,13.5
464,Martin Krampelj,CU,35,25.3,5.1,8.5,0.592,0.7,2,0.371,2.7,4.2,0.633,1.6,2.8,1.7,5.2,6.9,0.8,1.1,0.8,13.5
465,Tyler Bey,CU,36,26.3,5.1,9.4,0.54,0.1,0.6,0.227,3.2,4.1,0.782,1.9,2.3,2.1,7.7,9.9,0.6,0.8,1.2,13.5
466,Cameron Tyson,U of I,32,25.4,4.4,10.6,0.419,3.3,7.7,0.429,1.3,1.5,0.875,1.5,1.8,0.4,1.6,1.9,0.8,0.5,0.1,13.5
467,Ruben Guerrero,SU,33,29.9,5.7,9.3,0.611,0,0,0,2.2,3.3,0.651,2,2.9,3.3,5.1,8.4,0.6,0.6,2.1,13.5
468,Josh McFolley,UDM,31,33.4,4.4,10.1,0.43,2.1,5.4,0.393,2.6,3.5,0.766,1.7,2.3,0.4,1.7,2.1,2.6,1.8,0.2,13.5
469,Lindell Wigginton,ISU,25,26,3.9,9.4,0.415,1.8,4.7,0.39,3.8,5.3,0.72,2,2,0.7,3.3,4,2.1,0.8,0.4,13.5
470,Cam Reddish,DUKE,36,29.7,4.3,12,0.356,2.5,7.4,0.333,2.4,3.2,0.772,2.7,2.4,0.6,3.1,3.7,1.9,1.6,0.6,13.5
471,Kira Lewis,UA,34,31.6,4.6,10.7,0.431,1.6,4.4,0.358,2.6,3.4,0.783,2.2,1.8,0.4,2.2,2.6,2.9,0.8,0.3,13.5
472,Tyrn Flowers,LIU,32,31.8,5.1,10.7,0.472,2.3,6,0.389,1,1.5,0.653,1.5,2.1,1.7,4.9,6.6,2,1.2,1.4,13.5
473,Jordan Bone,UT,37,32.9,5,10.8,0.465,1.4,3.8,0.355,2.1,2.5,0.835,2,1.3,0.5,2.7,3.2,5.8,0.7,0.1,13.5
474,Keldon Johnson,UK,37,30.7,4.6,10.1,0.461,1.2,3.2,0.381,2.9,4.2,0.703,1.6,2.2,1.3,4.5,5.9,1.6,0.8,0.2,13.5
475,Tahjai Teague,BSU,33,28.2,5.3,9.6,0.55,0.4,1.5,0.26,2.5,3.7,0.669,2.2,3.1,1.9,5.5,7.5,1.2,1.3,0.9,13.5
476,Jaquan Dotson,SST,31,31.4,4.6,10.4,0.446,2,6.4,0.315,2.2,3,0.713,2,2.2,2.4,4.4,6.8,2,1.3,0.5,13.5
477,Louis King,UO,31,30.4,4.8,11,0.435,1.9,4.9,0.386,2,2.5,0.785,2.1,2.5,1.3,4.2,5.5,1.3,0.9,0.2,13.5
478,Isaiah White,UM,31,33.5,5.1,12.5,0.411,1.7,5.9,0.297,1.5,2,0.738,2,2.2,0.5,3.1,3.6,1.6,1.4,0.7,13.5
479,T.J. Gibbs,ND,32,36.1,4.3,12.4,0.347,2.1,6.6,0.318,2.7,3.6,0.757,1.2,2,0.4,1.5,1.9,3.4,1.2,0.1,13.4
480,Skylar Mays,LSU,35,33.1,4.1,9.7,0.421,1.6,5,0.312,3.7,4.3,0.86,1.2,1.7,0.4,2.9,3.3,2.1,1.9,0.2,13.4
481,Elijah Minnie,EMU,30,32.3,4.7,11.5,0.413,2.4,7.3,0.326,1.6,2,0.783,1.9,2.4,0.9,3.6,4.5,1.1,1.6,1.2,13.4
482,"Edward Polite, Jr.",RU,33,33.5,4.9,9.6,0.516,0.8,2.5,0.321,2.7,3.7,0.744,1.6,2.2,2.4,7.2,9.5,1.6,1.5,1.2,13.4
483,James Akinjo,GU,33,31.6,3.9,10.6,0.365,1.6,4,0.391,4.1,5,0.812,3,2.5,0.2,2.7,2.9,5.2,1.1,0,13.4
484,A.J. Lawson,USC,29,30.5,4.5,10.9,0.411,1.7,4.6,0.358,2.8,4.1,0.667,2.6,2,0.9,3.4,4.3,2.9,1.1,0.2,13.4
485,LaQuincy Rideau,USF,35,32.1,4.6,11.3,0.409,1.5,4.6,0.338,2.6,4.7,0.549,3.6,3.6,0.9,2.8,3.7,5.4,2.9,0.1,13.4
486,Cam Delaney,SHSU,33,31.5,4.4,9.4,0.466,2.3,5.4,0.435,2.2,2.7,0.822,1.6,2.1,1.6,3.9,5.5,2,0.9,0.5,13.4
487,Derrick Alston,BSU,33,27.9,4.4,9.1,0.485,1.7,4.4,0.384,2.9,3.5,0.819,1.5,2,0.6,3.3,3.9,1.1,0.4,0.4,13.4
488,Armoni Brooks,U of H,37,30.7,4.6,11.5,0.405,3.3,8.4,0.39,0.8,1.2,0.63,0.9,1.6,1.1,5.2,6.3,0.9,0.8,0.3,13.4
489,Xavian Stapleton,FAU,26,22.5,4.6,10.1,0.458,2.2,6,0.369,1.9,2.3,0.803,1.3,2.8,1.3,3.4,4.7,0.7,1,0.4,13.3
490,Sam Iorio,AU,27,37.3,4.7,11.1,0.421,2.3,6.6,0.348,1.7,2.1,0.821,1.3,1.4,1.1,5.4,6.5,2,1,0.9,13.3
491,Randy Miller,NCCU,34,28.6,4.1,9.8,0.419,1.9,5.2,0.371,3.2,4,0.807,2,1.9,0.4,2,2.4,1.9,0.9,0,13.3
492,Josh Cunningham,DAY,31,29.4,5,7.9,0.639,0.2,0.5,0.429,3,4.9,0.623,2.1,2.4,1.7,4.5,6.2,1.5,0.6,0.1,13.3
493,Nate Pierre-Louis,TEM,33,34.3,4.6,10.1,0.459,0.8,2.5,0.31,3.2,4.8,0.667,1.7,2.3,1.3,4.5,5.8,2.1,1.6,0.3,13.3
494,Quintin Dove,UTM,31,23.8,5.2,8.6,0.597,0.3,0.9,0.357,2.6,3.2,0.81,1,3.3,2.6,2.6,5.2,0.4,0.9,0.5,13.3
495,Mfiondu Kabengele,FSU,37,21.6,4.4,8.8,0.502,0.6,1.8,0.369,3.7,4.9,0.761,1.3,2.6,2.1,3.8,5.9,0.3,0.6,1.5,13.2
496,Tajuan Agee,IC,33,27.5,4.6,10,0.458,1.1,3,0.357,3,4.1,0.728,2.4,3.6,1.8,6.2,8,1.2,1,0.7,13.2
497,"Ivy Smith, Jr.",GSU,33,31,3.6,8.8,0.405,0.7,2.3,0.32,5.3,6.5,0.819,3.5,2.2,0.7,2.7,3.3,4.9,1.8,0.3,13.2
498,Ithiel Horton,UD,33,32.6,4.6,10.6,0.433,2.4,5.8,0.409,1.7,2.1,0.786,1.4,2.2,0.4,2.7,3.1,1.6,1,0.1,13.2
499,Brendan Barry,DART,30,35.6,4.5,9.7,0.466,2.7,6.1,0.445,1.4,1.7,0.843,1.5,1.5,0.2,3,3.2,3.2,1.1,0.2,13.2
500,Haanif Cheatham,FGC,10,27.3,4.9,10.8,0.454,0.8,2.2,0.364,2.6,4,0.65,2.4,1.2,0.4,4.4,4.8,1.9,1.2,0.2,13.2
